"date","gdp_nom","gdp_defl","cpi","ur","m1","m3","policy","ibr_3m","gov_10y","reer","xr_usd"
"1995-05-01",,,81.476627348187,8.6,,702368.394792775,8.41,8.79086956521739,10.74,123.125797137738,7.28985
"1995-06-01",,,81.4110965487112,8.7,,711363.491667077,8.66,9.15,10.58,122.618758851652,7.25772
"1995-07-01",,,81.3237221494102,8.6,,711604.403764247,8.91,9.2752380952381,10.55,123.435653868123,7.17937
"1995-08-01",,,81.214504150284,8.7,,722305.171638967,8.91,9.16869565217391,10.22,125.332352641998,7.22687
"1995-09-01",,,81.7605941459152,8.7,,727394.907744633,8.91,9.04095238095238,9.63,128.703218284677,7.12572
"1995-10-01",,,81.9790301441678,8.9,,733180.301071509,8.91,8.92954545454546,9.3,132.336992668289,6.83471
"1995-11-01",,,81.9571865443425,9,,734497.537321123,8.91,8.81954545454545,8.99,137.135077190319,6.59308
"1995-12-01",,,81.6950633464395,9,,744843.76149616,8.91,8.71761904761905,8.61,137.313479550238,6.63032
"1996-01-01",,,81.564001747488,8.7,,737418.33078626,8.45,8.4095652173913,8.25,135.998935845572,6.72404
"1996-02-01",,,81.6295325469637,9.2,,748341.355253245,8.05,8.0352380952381,8.77,132.797082964922,6.8781
"1996-03-01",,,82.0227173438183,9.1,,770931.515377848,7.4,7.28809523809524,8.76,136.261844586506,6.72715
"1996-04-01",,,82.2193097422455,9.4,,775459.15262399,6.9,6.56545454545455,8.33,137.820517836324,6.72214
"1996-05-01",,,82.1100917431193,9.5,,783185.335827169,6.5,6.34173913043478,8.43,136.900337243058,6.79955
"1996-06-01",,,81.8042813455658,9.6,,784141.442199176,6.1,5.9885,8.34,138.383893709752,6.68135
"1996-07-01",,,81.6076889471385,9.5,,794472.976138486,5.55,5.66347826086957,8.26,137.75479065109,6.64245
"1996-08-01",,,81.214504150284,9.9,,797628.680226144,5.25,5.36272727272727,8.1,136.505974131658,6.61778
"1996-09-01",,,81.6950633464395,9.8,,807015.62743417,5.05,5.00809523809524,7.79,137.407375529143,6.64073
"1996-10-01",,,81.6732197466143,9.8,,802147.178250461,4.6,4.76782608695652,7.19,138.731308831699,6.60028
"1996-11-01",,,81.476627348187,9.9,,820000.614371442,4.35,4.64047619047619,7.26,136.027104639244,6.62351
"1996-12-01",,,81.3455657492355,10.1,,834848.265634323,4.1,4.17136363636364,6.85,133.567029991941,6.81439
"1997-01-01",,,81.2581913499345,10,,793427.354013917,4.1,4.04130434782609,6.74,131.172682529871,7.06705
"1997-02-01",,,81.127129750983,10.4,,804054.714773072,4.1,4.2215,6.68,128.36519276062,7.40005
"1997-03-01",,,81.4329401485365,10.4,,820366.61607635,4.1,4.34952380952381,7.1,125.726715753398,7.65428
"1997-04-01",,,82.0227173438183,10.2,,806255.575614126,4.1,4.30409090909091,7.24,126.15863725636,7.67125
"1997-05-01",,,82.0227173438183,10.2,,811835.302917504,4.1,4.33318181818182,7.01,125.426248620903,7.67329
"1997-06-01",,,82.1537789427698,10.5,,823594.093191367,4.1,4.36809523809524,6.8,124.844093551694,7.74168
"1997-07-01",,,82.1100917431193,10.1,,819386.041381554,4.1,4.43086956521739,6.44,125.989624494331,7.80463
"1997-08-01",,,82.1537789427698,9.6,,830690.184050363,4.1,4.50047619047619,6.53,126.149247658469,7.9962
"1997-09-01",,,82.9183049366536,9.5,,822207.406544801,4.1,4.49,6.38,129.905086814657,7.6995
"1997-10-01",,,82.8527741371778,9.4,,825330.855041061,4.1,4.58304347826087,6.22,130.675033841676,7.57188
"1997-11-01",,,82.7217125382263,9.2,,827123.889833481,4.1,4.694,6.3,129.388658930681,7.55358
"1997-12-01",,,82.6780253385758,8.8,,848576.621277368,4.35,4.83391304347826,6.03,128.909789438267,7.78534
"1998-01-01",,,81.9790301441678,8.8,596031.635243188,997686.905142963,4.35,4.77818181818182,5.65,126.75957152135,8.00852
"1998-02-01",,,81.8916557448668,8.8,594653.997893667,990280.281034431,4.35,4.706,5.53,124.487288831856,8.0781
"1998-03-01",,,82.0227173438183,8.4,591849.589022204,994303.250228991,4.35,4.62681818181818,5.35,126.271312431045,7.96781
"1998-04-01",,,82.2411533420708,8.7,587740.386931242,995175.378364828,4.35,4.61136363636364,5.21,128.139842411249,7.81203
"1998-05-01",,,82.3722149410223,8.9,591380.582246134,1006484.5419199,4.35,4.63238095238095,5.2,129.55767169271,7.69514
"1998-06-01",,,82.2193097422455,8.2,607209.967515367,988171.465890038,4.1,4.36590909090909,4.97,126.956753077049,7.90707
"1998-07-01",,,82.0227173438183,8.3,611090.769147906,1008830.77032348,4.1,4.24086956521739,4.88,125.848780525974,7.9857
"1998-08-01",,,81.6076889471385,8.1,618549.811716483,981781.514886809,4.1,4.32333333333333,4.8,123.210303518752,8.141068
"1998-09-01",,,81.9571865443425,7.6,624289.911601736,984810.628178136,4.1,4.30518181818182,4.79,123.097628344066,7.91052
"1998-10-01",,,82.1100917431193,7.4,618034.278066005,980873.840205117,4.1,4.27122727272727,4.72,120.515488924187,7.84895
"1998-11-01",,,81.913499344692,7.6,620405.69288864,988749.96681492,3.6,3.90166666666667,4.55,119.614087526702,7.99091
"1998-12-01",,,81.7605941459152,7.4,639965.520466955,983604.772574428,3.4,3.6004347826087,4.22,117.877011916965,8.0526
"1999-01-01",,,81.7605941459152,7.3,660350.762042451,1005622.61035335,3.4,3.43628571428571,4.02,122.215006142362,7.81931
"1999-02-01",,,81.8042813455658,7,672754.462680712,1003537.94100204,3.15,3.3135,4.18,123.266641106095,7.94584
"1999-03-01",,,82.1100917431193,7,663888.771182779,1001946.66646265,2.9,3.226,4.44,121.811253433072,8.21215
"1999-04-01",,,82.3066841415465,6.9,662111.036188513,1020330.55533369,2.9,2.99345454545455,4.24,120.938020829258,8.32092
