"date","pce_nom","gdp_nom","pce_defl","gdp_defl","cpi","ur","m1","m2","policy","ffer_1d","tb_3m","gov_10y","compx","ndx","reer","rrppi","hfwh","hnfwh","hhwh"
"2013-04-01",2828920.25,4182171.75,98.1592548522768,97.0675999456205,97.9085597469217,7.53333333333333,9409100,10692300,0.125,0.116666666666667,0.05,1.99666666666667,3368.01296875,2911.57265625,88.3051013938869,89.9118128024629,63042630,26923197000,21685347
"2013-07-01",2852089.75,4238459.5,98.5624907171097,97.5435509421973,98.4380917018545,7.23333333333333,9581300,10850000,0.125,0.0833333333333333,0.0333333333333333,2.71,3640.89546875,3106.21234375,89.1659002223433,91.816915100524,65001813,27598511000,22340818
"2013-10-01",2887807.25,4298004.75,98.9255892590873,98.0590982222181,98.8020833882731,6.93333333333333,9797700,11047800,0.125,0.0866666666666667,0.0633333333333333,2.74666666666667,3957.07625,3398.32484375,87.8193393994053,93.8512593161339,66929998,27971561000,22692221
"2014-01-01",2911500.25,4299434.5,99.3796862447601,98.4314008208293,99.4174093651207,6.66666666666667,9997200,11219100,0.125,0.0733333333333333,0.0466666666666667,2.76333333333333,4210.40475409836,3611.19721311475,89.0551750618364,94.3606705032466,68469732,28239051000,22949864
"2014-04-01",2952612.75,4379627,99.8240944944159,98.9885548105594,99.9453942147403,6.2,10173200,11383700,0.125,0.0933333333333333,0.0333333333333333,2.62333333333333,4195.80634920635,3655.8880952381,89.1694720017145,93.8424868472681,70153907,28798496000,23482595
"2014-07-01",2989947.5,4451057,100.09698830369,99.3949812822402,100.201088529234,6.06666666666667,10306200,11503700,0.125,0.09,0.0266666666666667,2.49666666666667,4482.7428125,3991.1225,89.78738983293,94.9805626843929,70344899,29298213000,23937454
"2014-10-01",3020390.25,4478019.75,99.964212901968,99.4939032889482,99.9521452197435,5.7,10522800,11701900,0.125,0.1,0.0233333333333333,2.28,4600.93859375,4142.5675,92.6912464617061,97.2061640925044,71596565,29665920000,24277678
"2015-01-01",3029940.75,4515882.25,99.5167398921231,99.4397033808922,99.3051739069437,5.53333333333333,10754300,11903700,0.125,0.11,0.0266666666666667,1.96666666666667,4825.26442622951,4307.19672131148,97.3095571886524,98.9849775813478,72726701,30128537000,24708808
"2015-04-01",3066035,4569946,100.013862955935,100.010715412819,99.98238409632,5.43333333333333,10890400,12005600,0.125,0.123333333333333,0.02,2.16666666666667,5030.16714285714,4459.07571428571,98.5275339542276,98.9400729634898,73072721,30715029000,25223229
"2015-07-01",3095623.5,4600406.5,100.273024265545,100.27597679517,100.360018438682,5.1,11055500,12154800,0.125,0.136666666666667,0.04,2.22,4924.328125,4406.02359375,101.656412683389,100.069723756258,71723204,31205052000,25677011
"2015-10-01",3105838.25,4608784.25,100.196372886397,100.273604411119,100.352423558054,5.03333333333333,11263300,12368700,0.208333333333333,0.16,0.123333333333333,2.19,4998.138125,4573.1478125,102.506496173731,102.005225698904,72868640,31557669000,25996286
"2016-01-01",3130789,4631483.25,100.244499680051,100.18686563153,100.290117407713,4.9,11468200,12629000,0.375,0.36,0.286666666666667,1.92,4614.20065573771,4259.26098360656,104.235237389386,103.168663525225,73735466,31856887000,26241452
"2016-04-01",3166281,4677925.5,100.880520543323,100.867580467108,101.092221189647,4.93333333333333,11710500,12835400,0.375,0.373333333333333,0.256666666666667,1.75333333333333,4845.7121875,4432.62671875,102.424345248194,103.123064058348,74878426,32571589000,26892104
"2016-07-01",3199281.5,4723159.75,101.227784842618,101.125567244177,101.521331945158,4.9,11969600,13034200,0.375,0.396666666666667,0.296666666666667,1.56333333333333,5168.8890625,4734.40375,103.385153899044,104.196953217336,76105467,33208577000,27500792
"2016-10-01",3230497.25,4772344.75,101.691119062672,101.615393165108,102.165771631081,4.76666666666667,12155200,13226100,0.458333333333333,0.45,0.43,2.13,5309.89031746032,4841.14047619048,106.514032628205,105.592644328284,76406326,33671320000,27927066
