"date","gdp_nom","gdp_defl","cpi","ur","m1","m2","policy","ffer_1d","tb_3m","gov_10y","compx","ndx","reer"
"1979-12-01",228085.238397092,38.5046417632417,32.4470177962821,6,805600,1473700,14.77,13.78,12.04,10.39,148.7485,,
"1980-01-01",230485.910265913,38.7870454768694,32.9111493902471,6.3,803000,1482700,13.4,13.82,12,10.8,155.140909090909,,
"1980-02-01",232454.781716702,39.035368549751,33.3330872029426,6.3,800700,1494600,16.33,14.13,12.86,12.41,161.644,,
"1980-03-01",234519.808017385,39.3250111708157,33.7972187969076,6.3,788500,1499800,19.85,17.19,15.2,12.75,141.100476190476,,
"1980-04-01",233589.926210651,39.5859559821098,34.134769047064,6.9,770200,1502200,14.64,17.61,13.2,11.47,136.286666666667,,
"1980-05-01",232217.545077317,39.979357870515,34.4723192972204,7.5,767000,1512300,11.06,10.98,8.58,10.18,145.684761904762,,
"1980-06-01",233530.528712032,40.3775450345329,34.8098695473768,7.6,779900,1529200,10.44,9.47,7.07,9.78,155.429047619048,,
"1980-07-01",234781.210372517,40.5535765955473,34.8520633286463,7.8,796800,1545500,9.93,9.03,8.06,10.25,166.925909090909,,
"1980-08-01",237610.936595611,40.8810895481363,35.1052260162636,7.7,813800,1561500,10.74,9.61,9.13,11.1,177.729047619048,,
"1980-09-01",241728.603031871,41.176886554561,35.4005824851504,7.5,823800,1574000,13.19,10.87,10.27,11.51,189.485714285714,,
"1980-10-01",243855.441843437,41.5803500837854,35.7381327353068,7.5,828700,1584800,13.77,12.81,11.62,11.75,195.757826086957,,
"1980-11-01",248898.876246881,41.9370442142208,36.1178767667327,7.5,825300,1595800,18.56,15.85,13.73,12.68,200.685555555556,,
"1980-12-01",253634.931909678,42.284831454447,36.4554270168891,7.2,808800,1599800,22,18.9,15.49,12.84,198.398636363636,,
"1981-01-01",257632.03269055,42.6886679262823,36.7929772670455,7.5,793600,1606900,17.25,19.08,15.02,12.57,198.817619047619,,
"1981-02-01",260433.629092933,43.0873641519089,37.1305275172019,7.4,789800,1618700,15.53,15.93,14.79,13.19,194.852105263158,,
"1981-03-01",262985.838216517,43.3449895558474,37.3836902048192,7.4,791000,1636600,14.63,14.7,13.36,13.12,203.593181818182,,
"1981-04-01",261647.506561235,43.6576129213239,37.5946591111669,7.2,799900,1659200,18.92,15.72,13.69,13.68,215.12,,
"1981-05-01",263215.720338228,43.8810426559936,37.8478217987842,7.5,791700,1664200,17.56,18.52,16.3,14.1,216.5435,,
"1981-06-01",265769.773100535,44.1427983358126,38.1853720489406,7.5,786100,1670300,18.64,19.1,14.73,13.47,220.040454545455,,
"1981-07-01",269717.559792837,44.4288431813049,38.607309861636,7.2,786900,1681900,17.46,19.04,14.95,14.28,209.720909090909,,
"1981-08-01",271680.883888262,44.6785857821144,38.9026663305229,7.4,780900,1694300,16.83,17.82,15.51,14.94,206.62619047619,,
"1981-09-01",273753.8063189,45.0521135396064,39.2824103619488,7.6,775100,1706000,16.58,15.87,14.7,15.32,185.372380952381,,
"1981-10-01",274156.688419343,45.2294302493446,39.4089917057574,7.9,772000,1721800,14.44,15.08,13.54,15.15,190.201363636364,,
"1981-11-01",273549.606442805,45.5017211912231,39.5777668308356,8.3,774400,1736100,12.44,13.31,10.86,13.39,199.229,,
"1981-12-01",272498.205137853,45.7517842160669,39.7043481746443,8.5,780600,1755500,13.13,12.37,10.85,13.72,197.149545454545,,
"1982-01-01",268952.408013857,46.1135624976613,39.8309295184529,8.6,789200,1770400,14.21,13.22,12.28,14.59,187.6785,,
"1982-02-01",274849.561420645,46.0885640089138,39.9575108622616,8.9,787200,1774500,13.74,14.78,13.48,14.43,182.628421052632,,
"1982-03-01",274773.530565495,46.1546883632812,39.9575108622616,9,786900,1786500,16.8,14.68,12.68,13.86,173.283913043478,,
"1982-04-01",275455.178070295,46.3327436867744,40.0840922060702,9.3,791400,1803900,15.28,14.94,12.7,13.87,181.844285714286,,
"1982-05-01",277440.63930518,46.70865886521,40.4638362374961,9.4,790700,1815400,13.38,14.45,12.09,13.62,184.607,,
"1982-06-01",280097.18262452,47.1129719864405,40.9279678314612,9.6,791000,1826000,14.58,14.15,12.47,14.3,172.075,,
"1982-07-01",280485.899019825,47.2731952786924,41.1389367378089,9.8,790000,1831500,11.41,12.59,11.35,13.95,169.625238095238,,
"1982-08-01",279883.817178097,47.4106134893851,41.223324300348,9.8,795600,1845200,10.63,10.12,8.68,13.06,167.382727272727,,
"1982-09-01",281210.783802075,47.4590791274408,41.223324300348,10.1,803500,1858400,12.17,10.31,7.92,12.34,185.092857142857,,
"1982-10-01",282924.741494713,47.770500708432,41.3920994254262,10.4,819800,1869700,9.41,9.71,7.71,10.91,203.861904761905,,
"1982-11-01",284206.966958452,47.8718442568597,41.3499056441566,10.8,834200,1883700,8.93,9.2,8.07,10.55,226.970476190476,,
"1982-12-01",283508.541546835,47.973237895922,41.223324300348,10.8,874900,1905900,11.2,8.95,7.94,10.54,233.030454545455,,
"1983-01-01",288798.482584387,48.0863445050259,41.3077118628871,10.4,998700,1959400,8.56,8.68,7.86,10.46,241.478095238095,,
"1983-02-01",288450.44359811,48.3024549478146,41.3499056441566,10.4,1086200,1996800,8.53,8.51,8.11,10.72,256.058421052632,,
"1983-03-01",291104.3238175,48.3103935216324,41.3920994254262,10.3,1129800,2015200,10.81,8.77,8.35,10.51,266.452173913043,,
"1983-04-01",296047.392759235,48.439990359894,41.687455894313,10.2,1154000,2028600,8.84,8.8,8.21,10.4,279.528,,
"1983-05-01",298522.354211635,48.5906010830015,41.8562310193912,10.1,1178100,2043100,8.94,8.63,8.19,10.38,302.438095238095,,
"1983-06-01",300142.253029125,48.7425270375078,41.9406185819303,10.1,1191100,2053500,10.06,8.98,8.79,10.85,319.349090909091,,
"1983-07-01",303894.29836903,48.9718723561777,42.1093937070085,9.4,1196600,2064800,9.52,9.37,9.08,11.38,316.094,,
"1983-08-01",307098.029019768,49.1333436310176,42.2359750508171,9.5,1198100,2074000,9.59,9.56,9.34,11.85,296.873913043478,,
"1983-09-01",311302.422611207,49.2158615083754,42.3625563946258,9.2,1200100,2083200,10.59,9.45,9,11.65,300.37,,
"1983-10-01",314553.959936923,49.3462364302104,42.531331519704,8.8,1203600,2099200,9.43,9.48,8.64,11.54,286.722857142857,,
"1983-11-01",316335.908455802,49.4779646460077,42.6579128635126,8.5,1203900,2112300,9.34,9.34,8.76,11.69,278.666666666667,,
"1983-12-01",317786.631607275,49.6158659514237,42.7844942073213,8.3,1206300,2123500,9.92,9.47,9,11.83,278.655714285714,,
"1984-01-01",323478.660701513,49.7842107823958,43.0798506762081,8,1210600,2138200,9.35,9.56,8.9,11.67,282.004285714286,,
"1984-02-01",325593.401138485,50.0094277432412,43.2908195825558,7.8,1218300,2158200,9.45,9.59,9.09,11.84,254.3865,,
"1984-03-01",327941.438160008,50.1487843188806,43.4174009263645,7.8,1228100,2175200,10.24,9.91,9.52,12.32,251.25,,
"1984-04-01",331548.232409765,50.3112472348473,43.5861760514427,7.7,1237100,2191700,10.9,10.29,9.69,12.63,245.207,,
"1984-05-01",334328.876208385,50.4027867701707,43.6705636139817,7.4,1238600,2204100,10.81,10.32,9.83,13.41,245.243181818182,,
"1984-06-01",336523.14138185,50.5117333441295,43.7549511765208,7.2,1238300,2215100,10.85,11.06,9.87,13.56,238.51619047619,,
"1984-07-01",338866.855857105,50.7091264850246,43.923726301599,7.5,1234000,2223500,11.83,11.23,10.12,13.36,232.40380952381,,
"1984-08-01",340665.628864745,50.8537976174727,44.0503076454077,7.5,1227300,2230400,11.64,11.64,10.47,12.72,250.346086956522,,
"1984-09-01",341530.01527815,51.0083156377393,44.1768889892163,7.3,1228600,2244400,11.23,11.3,10.37,12.52,252.004736842105,,
"1984-10-01",343434.78837637,51.1513139602837,44.3456641142945,7.4,1230700,2258900,9.99,9.99,9.74,12.16,247.153913043478,,
"1984-11-01",345926.583286358,51.2163540517446,44.4300516768336,7.2,1241900,2281400,8.92,9.43,8.61,11.57,246.398095238095,,
"1984-12-01",347776.378337262,51.3434501268653,44.5144392393727,7.3,1256300,2306400,8.74,8.38,8.06,11.5,241.912,,
"1985-01-01",349470.162556183,51.5152178185445,44.5988268019118,7.3,1277200,2332400,8.73,8.35,7.76,11.38,260.798636363636,,
