"date","gdp_nom","gdp_defl","cpi","ur","m1","m2","m3","policy","ibr_3m","gov_10y","reer","xr_usd"
"2005-01-01",128038.18143664,82.4478252389956,82.4,5.3,545231.887041497,697401.594258302,851821.490194053,2.15,2.19583333333333,3.735,107.394309185578,5.672
"2005-02-01",128478.616233402,83.1185409151765,83.2,5.2,550965.975304596,708246.923237852,849896.623766721,2.15,2.189375,3.64,107.527248246653,5.71964
"2005-03-01",130652.302329957,83.4869213691443,83.7,5.2,563047.158001722,714014.233984047,863445.420857842,2.15,2.18619565217391,3.815,107.946517593121,5.63706
"2005-04-01",132904.45921044,83.3840068210908,84.1,5.2,582682.970786036,736082.619332539,879783.578945832,2.15,2.18094761904762,3.582,107.701091634213,5.76076
"2005-05-01",131420.332561146,83.198242908955,84.1,5,579639.825461253,728743.388038573,878737.521369809,2.15,2.17585,3.386,107.077300655321,5.86641
"2005-06-01",132550.308228414,83.3928172653734,84.2,5,596587.609877971,767189.152331519,947082.355549482,2.15,2.16090909090909,3.158,105.85017086078,6.1184
"2005-07-01",131438.604507383,83.6912480956058,84.1,5,604771.838743477,774660.844273255,965859.670694154,2.15,2.16278095238095,3.205,105.778588289432,6.19649
"2005-08-01",133155.877801888,83.9546991265643,84.1,4.7,614471.910938004,781648.683107945,967047.503807623,2.15,2.17290869565217,3.24,105.67632747322,6.07287
"2005-09-01",135791.81769073,84.8798211550266,84.7,4.5,624005.953362082,789382.070433262,966249.737389708,2.15,2.17658636363636,3.051,105.574066657009,6.08649
"2005-10-01",134721.734990147,84.830345790199,84.7,4.3,625136.554997187,786893.473445773,985818.423686627,2.15,2.21778095238095,3.218,105.093440820813,6.214
"2005-11-01",134660.942554557,84.664378000329,84.4,4.1,637593.491315935,793984.031581681,994470.731083512,2.15,2.39076818181818,3.462,104.663945392724,6.3349
"2005-12-01",136265.322455296,84.9668561456948,84.5,4.1,646231.196408999,800496.830628052,1025540.31845158,2.4,2.481,3.353,104.582136739755,6.2839
"2006-01-01",135734.061915656,84.887501,84.2,4.1,700198.052560112,866989.718004602,1051097.38609989,2.4,2.52464090909091,3.311,104.428745515437,6.16522
"2006-02-01",137798.783569945,85.5622563320024,85,4.2,642851.517148705,814820.166419312,1004784.53158249,2.5,2.65741,3.484,104.633267147861,6.25415
"2006-03-01",138845.454514399,85.5496325680596,85.3,4.2,661890.111238969,830239.361315541,1042505.04153402,2.75,2.84767391304348,3.704,105.072988657571,6.2076
"2006-04-01",139817.723649308,85.4417608404897,85.7,4.2,657352.884975492,820166.743169029,1036114.75152217,2.75,2.917925,3.975,105.318414616479,6.07621
"2006-05-01",142676.102629228,85.2879797625286,85.8,4.1,662459.853933198,826883.56815388,1044844.04332688,2.75,2.97815652173913,4.022,105.942205595371,5.84532
"2006-06-01",142795.173721464,85.5947005859103,86,4,679063.519128639,844412.872650041,1053687.08888161,3,3.07862727272727,4.029,106.320570615354,5.90165
"2006-07-01",142501.615544387,85.8564518491257,85.8,3.8,670402.636806492,837629.878348686,1057411.42691081,3,3.2044380952381,4.063,106.136501146173,5.882
"2006-08-01",142036.452391153,86.0092418573577,85.8,3.7,669455.676046014,841759.356952389,1073084.61692317,3.25,3.33108260869565,3.934,105.921753432129,5.8238
"2006-09-01",140569.63206446,86.1553072056393,86.1,3.6,682170.798339168,854247.518031932,1089620.27677663,3.25,3.44634761904762,3.792,106.156953309416,5.86156
"2006-10-01",140681.967477604,85.5751770439847,86,3.5,682307.62139408,862907.405118368,1101960.54659099,3.5,3.61454545454545,3.878,105.768362207811,5.91213
"2006-11-01",140608.772226249,85.4621155160717,85.9,3.6,685791.853104568,868812.875659609,1113306.43954717,3.5,3.72446818181818,3.775,105.614970983493,5.7893
"2006-12-01",141175.060296146,85.7085109542909,86,3.8,707477.477184262,884972.959963704,1115950.28739152,3.75,3.84040952380952,3.777,105.799040452675,5.6424
"2007-01-01",141898.923674696,86.0206379792132,85.7,4.1,705280.406517046,875987.205085407,1115764.57460806,3.75,3.91897826086956,3.996,105.430901514312,5.7347
"2007-02-01",144334.34899372,87.0856860103821,86.6,3.9,707714.639490745,896851.246739599,1124970.67753045,3.75,3.994925,4.054,106.289892370491,5.7016
"2007-03-01",144165.927331584,87.4670874930764,87,3.7,734836.011141976,930990.290997712,1143548.37326546,4,4.07257727272727,3.958,106.80119645155,5.62589
"2007-04-01",142338.920264945,87.3477288532998,87.1,3.5,724256.012032242,916415.916086575,1148102.56235372,4,4.16175238095238,4.182,106.565996574263,5.5111
