"date","pce_nom","gdp_nom","pce_defl","gdp_defl","cpi","ur","m1","m2","m3","policy","ibr_3m","gov_10y","reer","rrppi","xr_usd","hfwh"
"2014-07-01",235760.8,496525.5,99.8071382348641,99.1279131474742,99.5333333333333,6.93333333333333,923754.426379134,1078443.16272082,1278672.95127249,0.0166666666666667,0.343730629274108,1.08666666666667,103.569754659258,94.6678602323567,5.62583333333333,6537057
"2014-10-01",236485.3,502377.6,99.7121587987744,100.365176946758,99.6,6.86666666666667,954900.133232234,1098950.59902685,1350803.58887277,-0.05,0.297796624713959,1.028,102.894833272261,94.2027387572572,5.95583333333333,6701334
"2015-01-01",236411.2,504223.6,99.9965845554608,99.9804638731605,99.6,6.36666666666667,1003765.84304605,1140453.27181371,1426782.61460391,-0.666666666666667,-0.111539862914863,0.373666666666667,100.495112785159,98.1194540359828,6.61979185185185,7170287
"2015-04-01",238485.2,506154.8,100.03531289786,99.7100959272211,100.333333333333,6.33333333333333,1039790.23226345,1152863.71070356,1473246.04237098,-0.75,-0.188714035087719,0.658666666666667,98.9884700929721,100.692290766979,6.76172114,7060764
"2015-07-01",242012.4,508358,99.7917510963811,99.9840304926098,100.133333333333,6.23333333333333,1042222.80043891,1145810.55612051,1495952.73726053,-0.75,-0.079942123094297,0.904333333333333,100.437164989305,100.693553628127,6.712294,7031244
"2015-10-01",244026.7,511469.4,100.176351450298,100.325409707009,99.9333333333333,6.13333333333333,1053219.96597854,1169041.62153583,1518226.3105148,-0.75,-0.113079329004329,0.825333333333333,100.079252132564,100.494701568911,6.81782033333333,7153042
"2016-01-01",245323.7,516627.5,99.5393034401273,100.102167327126,99.9,5.96666666666667,1063712.21432928,1162955.55426318,1472652.83880155,-0.65,-0.070843253968254,0.613,101.500677477907,103.031498185609,6.770818,7172933
"2016-04-01",248177.9,523204.1,100.203667912978,100.2823575041,100.466666666667,6.06666666666667,1096915.02125557,1212590.43520016,1502983.52224557,-0.65,-0.1177254784689,0.345,101.623390457362,104.640674717568,6.590198,7213717
"2016-07-01",247135.8,526174.1,99.7363015999306,100.035634906492,100.3,6,1117935.16292743,1218519.88323325,1467123.92032657,-0.65,-0.194467344249953,0.0416666666666667,101.452955763675,105.911598748213,6.66746936231884,7374849
"2016-10-01",252549.9,535514.5,100.798527596525,101.27560127245,100.333333333333,5.9,1132242.19479725,1232946.75086962,1463208.88063115,-0.65,-0.193948412698413,0.281666666666667,100.924608213248,104.281342149399,6.89838766666667,7389734
"2017-01-01",255783.9,541217.3,101.158414321822,101.37346407843,100.866666666667,6.1,1143940.65517265,1249706.82626154,1509400.01511457,-0.65,-0.238863306982872,0.298666666666667,100.566695356507,105.713232404823,6.99244164912281,7377848
"2017-04-01",256059.8,549764.2,100.893550068523,101.746902425902,101.3,5.86666666666667,1160551.15765351,1259692.59424063,1514030.51726709,-0.65,-0.238657096171802,0.569666666666667,100.968921233606,109.112077469731,6.76350861666667,7460128
"2017-07-01",255874.6,546795.2,100.668000987451,101.42403755201,101.833333333333,5.93333333333333,1173339.69976245,1279429.41024683,1512521.74591756,-0.65,-0.270607315389924,0.576333333333333,103.048224496579,109.03174007209,6.33535231,7690968
"2017-10-01",262220.9,551812.5,101.408205064234,101.581938458826,101.6,5.4,1191096.83617366,1296030.02927068,1508620.6515378,-0.65,-0.306903907496013,0.461,102.601685599121,107.608495558372,6.32027128666667,7734148
"2018-01-01",265262.1,552789.2,100.879079612603,100.941432678897,101.466666666667,5.2,1206832.57106051,1303706.89403401,1491918.5867293,-0.65,-0.302140151515152,0.660333333333333,102.806207231544,111.200266949418,6.05747242333333,7793790
"2018-04-01",269796,557875,101.509788388479,101.90574732611,102.3,5.13333333333333,1225657.06538625,1320995.20162578,1498760.13931152,-0.65,-0.292315789473684,0.492666666666667,102.571007354257,113.03219275924,6.25033552333333,8019701
"2018-07-01",269776,564956.3,101.861627096801,102.647843115587,102.733333333333,4.9,1236925.19448213,1338598.34817891,1495629.81673988,-0.65,-0.301676548089592,0.337,103.269789598371,113.042295648423,6.41041264333333,7955515
"2018-10-01",268907.3,567921.8,101.816751532007,103.03364843229,102.4,5.26666666666667,1239661.06763534,1336397.49300239,1464413.82571064,-0.65,-0.300844667906688,0.329333333333333,102.049477191577,110.870465903478,6.54025455666667,7638296
"2019-01-01",272778.7,567253.6,102.072021764398,102.505094095331,102.666666666667,5.13333333333333,1258371.54171372,1358835.97086277,1480450.46380613,-0.65,-0.309641774891775,0.123333333333333,101.838138171406,113.018204143447,6.57226012,8091522
"2019-04-01",273642.2,573835.7,102.258809870225,102.760474865702,103.066666666667,4.9,1270722.18649321,1368315.95712271,1467065.47886692,-0.65,-0.341528265107212,-0.0303333333333333,101.125721151798,115.200039634411,6.64246557333333,8341281
"2019-07-01",275385.3,579397,102.590853126191,103.420779279634,103.166666666667,4.86666666666667,1295361.87680905,1385635.46005358,1475542.79984192,-0.683333333333333,-0.422809931614279,-0.492666666666667,101.245025437378,115.282222752192,6.71428962,8506736
"2019-10-01",280005.5,583150.3,102.513163621576,103.724887569822,103.1,5.1,1320124.00691271,1403044.87303108,1500430.64798276,-0.75,-0.414007763975155,-0.334,100.242869438503,112.931261010571,6.74877114666667,8574837
"2020-01-01",272371.3,586779.9,102.351849838111,105.244990766379,103.3,4.93333333333333,1354878.27807089,1422126.69573899,1524840.75429277,-0.7,-0.393251212121212,-0.359666666666667,100.600782295244,114.649335030748,6.77951893666667,7967315
"2020-04-01",261518.5,551652.4,102.16653880467,105.180328408737,103.166666666667,5.43333333333333,1396238.57639393,1471939.45182819,1580659.94173647,-0.6,-0.138601354775828,-0.254,101.879042497891,116.736650221948,6.77814552,8364583
"2020-07-01",273979.3,590513.8,102.50990353162,106.183627582315,103.7,6.23333333333333,1421750.1170089,1493707.61509943,1599810.0863553,-0.6,-0.206572962544702,-0.361,103.402728659446,121.730877489354,6.36805851,8898691
"2020-10-01",281798,597644.8,103.09383736857,107.425181865624,103.566666666667,5.9,1466888.66746144,1531972.37584983,1670895.7115808,-0.6,-0.223824264069264,-0.462333333333333,103.160711394411,124.59184084841,6.24288585,9461082
"2021-01-01",276369.8,609797.9,104.095595405897,108.682793205754,104.033333333333,6.2,1493444.23213488,1564044.8656108,1684046.05672746,-0.566666666666667,-0.224290217391304,-0.251333333333333,102.206277109768,129.801920228947,6.169725,9377415
"2021-04-01",296228.1,630360,104.557895668557,107.972481455915,104.866666666667,4.96666666666667,1463691.83088429,1538742.47400227,1663616.52658198,-0.5,-0.20974696969697,0.074,101.892677273386,132.490551612892,6.16672423666667,10066214
"2021-07-01",301803.4,648483.6,103.954887580896,108.464376409376,105.666666666667,4.7,1463756.75943128,1536426.48153948,1665838.35964363,-0.5,-0.21425,-0.073,101.391599273948,132.907392934875,6.30893333,10354690
"2021-10-01",313452.9,678878.5,105.817312069892,110.619292064442,106.833333333333,4.46666666666667,1463404.29219833,1539540.06500536,1673363.29954389,-0.6,-0.274815873015873,0.007,100.109930377428,128.834374303301,6.50306976333333,10902783
"2022-01-01",303057.3,683493.7,107.73870553146,114.238363836831,109.066666666667,4.46666666666667,1475019.08954,1558709.17898272,1673145.66378627,-0.6,-0.269206277056278,0.379,99.8849565817618,128.947643233954,6.63011261666667,10633708
"2022-04-01",310428.3,709406.4,111.703901873206,118.723738275368,112.666666666667,4.13333333333333,1520888.75968341,1613790.22025678,1737758.24104617,-0.6,-0.116594820384294,1.391,99.274800378365,126.514206945056,6.9876085,10026245
"2022-07-01",314051.6,733025.1,113.48915751598,121.833435502766,115.4,4.6,1569994.83109299,1672408.88304232,1805874.30608175,0.15,0.773320258485474,1.72033333333333,99.2611656028701,119.183686553977,7.3898253,9783024
"2022-10-01",318106.9,718302.7,115.362810671329,120.666280945555,116.7,4.63333333333333,1548697.89136786,1681353.17526582,1845979.64624876,1.41666666666667,2.07480945165945,2.42066666666667,99.9497217653626,110.313252707744,7.29706103333333,9917717
"2023-01-01",323652,714016.1,115.418081664288,117.624780424147,117.066666666667,4.83333333333333,1560062.21198921,1713505.95877878,1877483.44651369,2.15,2.84937535573123,2.50966666666667,100.287182458861,115.265319841443,6.93735167,10049446
"2023-04-01",324243.3,699193.2,114.780797282432,115.299571414923,116.666666666667,4.83333333333333,1503034.35063633,1677333.53951333,1847878.72376015,2.85,3.41336120693891,2.569,99.6190784596113,116.174968440614,6.83704000666667,10169186
"2023-07-01",323003,692901.7,115.397685180232,112.494968692503,117.866666666667,4.83333333333333,1494409.61669077,1700447.54283287,1877469.54733256,3.43333333333333,3.81080020703934,2.845,100.77121698893,117.028954006111,6.84995966666667,10049726
"2023-10-01",328592.2,698631.3,115.568724496887,112.122793454442,117.233333333333,5.96666666666667,1498435.00294613,1717385.72509027,1934239.31110559,3.6,3.94142185007974,2.78733333333333,99.3225220925972,119.53825910705,6.934459,10416791
"2024-01-01",329964.8,712265,116.173339837783,114.451760961089,118.2,5.83333333333333,1470045.20806169,1710514.19502602,1895345.93422839,3.6,3.88207913343966,2.42366666666667,99.5065915617783,115.598812327662,6.86699866666667,10566167
"2024-04-01",331417.3,724021.4,117.026232047543,114.734060984172,118.5,6.13333333333333,1471434.05377032,1742097.7229703,1952794.60673544,3.51666666666667,3.73474700501253,2.50666666666667,98.8862092767604,,6.92968566666667,10656271
"2024-07-01",332769.5,749341.1,117.150598298132,117.317896007888,119.8,6.23333333333333,,,,3.35,3.45766783675262,2.25366666666667,99.919043520499,,6.880035,10815059
"2024-10-01",337808.8,775258.3,118.101248445568,119.171830939168,,6.56666666666667,,,,,2.90946448125144,2.02833333333333,,,,
"2025-01-01",,,,,,6.2,,,,,2.54083340909091,2.1895,,,,
