"date","pce_nom","gdp_nom","pce_defl","gdp_defl","cpi","ur","m1","m2","m3","ml","policy","tona_1d","gov_9y","gov_10y","gov_20y","n225","reer","rrppi","xr_usd","hfwh"
"2008-07-01",73876752,130807504,102.928039717923,100.764829729178,99.3122708761814,4,479507542.645639,737028926.719602,1035768651.79958,1441331168.16608,0.5,0.500666666666667,1.43298412698413,1.52449206349206,2.15580952380952,12777.1896825397,118.87174461712,97.9985378528171,107.613106666667,1533446600
"2008-10-01",72120800,129230224,102.04828452865,102.058538393574,98.6278998473256,4.06666666666667,479709885.382416,740978147.485907,1039497824.9406,1443783975.03706,0.233333333333333,0.333,1.36034426229508,1.4332131147541,2.08060655737705,8721.28783333333,144.177059546812,97.717864869938,96.1104866666667,1512506300
"2009-01-01",71053528,123054648,101.031956142184,102.118132685999,97.7053134012157,4.56666666666667,482035556.908408,748298177.631051,1046873321.01523,1456875641.79184,0.1,0.110333333333333,1.18564406779661,1.28894915254237,1.89335593220339,7924.66762711864,148.799541449795,97.0055620869187,93.71611,1502135800
"2009-04-01",71322248,124463424,100.513678722098,101.284822883179,97.3613997727654,5.1,483368448.104458,753543313.065107,1052716680.68674,1444906922.86854,0.1,0.103333333333333,1.361,1.45013114754098,2.09267213114754,9302.19147540984,138.223302855769,95.5386728050503,97.2750168350057,1537070400
"2009-07-01",71327152,123408472,99.7906591395038,100.469824175156,97.0973472995135,5.43333333333333,483720999.723205,759043111.803999,1057627093.48296,1451834430.87023,0.1,0.103333333333333,1.22293548387097,1.35441935483871,2.08166129032258,10128.9762903226,139.720986992336,97.2448404975252,93.6090540745804,1533542800
"2009-10-01",71483000,124122000,99.3666307665635,99.8117956615913,96.646653222994,5.2,484745562.743877,763800492.501056,1062513803.76106,1460676705.27651,0.1,0.104,1.18827868852459,1.31972131147541,2.07803278688525,9969.16573770492,141.174295302634,96.9020262593731,89.6801754385965,1545301000
"2010-01-01",71625400,125373552,99.2080963416189,99.7902242523966,96.7506575040298,5.03333333333333,486843982.287831,768349043.85167,1067351556.86178,1468230526.62058,0.1,0.098,1.1888,1.3432,2.14351666666667,10511.1846666667,139.458430020246,98.2513510042382,90.6534333333333,1543339300
"2010-04-01",71979904,126236728,98.9631267390534,99.26222463411,96.6149147365741,5.13333333333333,491314452.020263,775234029.352811,1075281284.86429,1478565300.89837,0.1,0.093,1.11729508196721,1.28406557377049,2.04326229508197,10345.9013114754,138.626383277709,98.3466869523123,92.0212666666667,1536611800
"2010-07-01",72483600,127733272,98.186500603364,98.6635733694403,96.2755578179349,5.06666666666667,495242875.20217,780309005.070755,1080311367.61202,1484086756.77606,0.1,0.0933333333333333,0.90215873015873,1.05590476190476,1.75014285714286,9356.01888888889,146.351475033975,99.4614753855425,85.8553,1534476100
"2010-10-01",71410552,126332648,98.3762907696582,98.3708286945576,96.4452362772545,5,499505253.236711,781652155.804149,1081900132.71637,1486091010.35481,0.05,0.0896666666666667,0.916491803278689,1.05001639344262,1.87934426229508,9842.44426229508,146.473508556214,99.1196490846761,82.5895,1560844000
"2011-01-01",70294672,124668400,98.4632500499052,98.1322162771837,96.2076864342071,4.73333333333333,507386152.562942,788315071.696783,1088395899.93219,1493264239.6715,0.05,0.0876666666666667,1.13258333333333,1.25068333333333,2.02465,10285.2993333333,142.923442454723,99.5977119372462,82.3008333333333,1559056800
