"date","gdp_nom","gdp_defl","cpi","ur","m1","m2","m3","ml","policy","tona_1d","gov_9y","gov_10y","gov_20y","n225","reer","xr_usd"
"2011-08-01",41880396.7864348,97.0893638770933,96.4113005853906,4.5,518938706.400104,799685458.429882,1102757075.24508,1497617564.67474,0.05,0.081,0.90904347826087,1.04569565217391,1.82865217391304,9072.94260869565,146.662105817856,77.2208695652174
"2011-09-01",41682361.0755803,97.0666694136922,96.3094935097989,4.2,520972543.51502,801621652.519155,1104949446.04774,1499014961.61121,0.05,0.08,0.86925,1.007,1.7605,8695.424,149.513252655616,76.8375
"2011-10-01",41804170.3015759,97.1632343397941,96.3094935097989,4.4,522929174.606933,803762364.461611,1107243694.57473,1500313320.3202,0.05,0.081,0.8877,1.0148,1.7447,8733.563,150.722493921436,76.772
"2011-11-01",41437423.0260004,97.0552976210048,96.1058793586154,4.5,524098963.508818,805532336.777171,1109261441.69139,1500480304.55851,0.05,0.077,0.87345,1.0039,1.7475,8506.105,148.370575129198,77.5794
"2011-12-01",41835910.6724238,96.9687095463239,96.1058793586154,4.5,525874264.308247,806045220.521203,1110126292.21997,1499538860.76781,0.05,0.078,0.887619047619048,1.00814285714286,1.75319047619048,8505.9919047619,148.63683008681,77.8586
"2012-01-01",42227052.5651137,97.1227246635315,96.4113005853906,4.5,526964800.365019,807573558.913124,1112035117.04161,1499963462.6754,0.05,0.08,0.859052631578947,0.982473684210526,1.74347368421053,8616.70894736842,149.712943873825,76.9783
"2012-02-01",42321626.2269358,97.0788103251537,96.5131076609824,4.5,528078401.891106,809048787.145262,1113741729.94594,1501773413.73459,0.05,0.085,0.857238095238095,0.981904761904762,1.74690476190476,9242.32714285714,144.875978810543,78.392
"2012-03-01",42316393.2079502,97.1152685265996,96.7167218121659,4.5,529811810.782472,811674375.642332,1116458341.13528,1505209753.02111,0.05,0.084,0.883285714285714,1.0012380952381,1.7737619047619,9962.34714285714,138.153041130844,82.4347619047619
"2012-04-01",41999528.3076475,96.8495531393973,96.6149147365741,4.5,531668210.365906,812983615.865801,1118575753.95756,1503932551.02917,0.05,0.075,0.84015,0.9607,1.7414,9627.42,140.216517052336,81.4895
"2012-05-01",41594317.9085389,96.607165273678,96.4113005853906,4.4,531542145.621756,813343281.127487,1119119533.54285,1501796754.44228,0.05,0.084,0.757714285714286,0.874142857142857,1.652,8842.54095238095,144.421126591289,79.7155
"2012-06-01",41445625.7838135,96.3452357500871,96.1058793586154,4.3,532597911.118084,814945490.421028,1120634062.74765,1503089225.86827,0.05,0.076,0.719047619047619,0.84152380952381,1.66257142857143,8638.07952380952,146.318193164274,79.3214285714286
"2012-07-01",41547975.1281272,96.3704463795809,96.0040722830236,4.3,534150589.431118,817333724.004243,1123481552.67184,1504822372.55678,0.05,0.084,0.658904761904762,0.778190476190476,1.59590476190476,8760.6780952381,146.262723381438,78.983
