"date","pop","gdp_nom","gdp_defl","cpi","ur","narrow","broad","stir","ltir"
"1975-01-01",215.973,1684904,28.566437708265,22.710802768334,8.5,113100,1016200,5.82416666666667,7.9875
"1976-01-01",218.035,1873412,30.1385892943181,24.0223261361291,7.7,120300,1152000,5.045,7.61166666666667
"1977-01-01",220.239,2081826,32.0112001257909,25.5764637462241,7.1,129900,1270300,5.5375,7.41916666666667
"1978-01-01",222.585,2351599,34.262845744379,27.5279261299407,6.1,144700,1366000,7.93083333333333,8.41
"1979-01-01",225.055,2627333,37.1055387991852,30.6256529048133,5.8,156700,1473700,11.1941666666667,9.4425
"1980-01-01",227.225,2857307,40.4573212251952,34.760643469229,7.1,163400,1599800,13.3558333333333,11.46
"1981-01-01",229.466,3207041,44.2854593455469,38.3682117677753,7.6,170700,1755500,16.3783333333333,13.9108333333333
"1982-01-01",231.664,3343789,47.0215939997917,40.7310635188699,9.7,180700,1905900,12.2583333333333,13.0016666666667
"1983-01-01",233.792,3634038,48.8633869488806,42.0179738475911,9.6,192200,2123500,9.08666666666667,11.105
"1984-01-01",235.825,4037613,50.6263189742156,43.8534033328163,7.5,204800,2306399.99999999,10.225,12.4383333333333
"1985-01-01",237.924,4338979,52.2273890973712,45.4005086460332,7.2,224700,2492099.99999999,8.10083333333333,10.6233333333333
"1986-01-01",240.133,4579631,53.2791925903541,46.2830619042547,7,248600,2727999.99999999,6.805,7.6825
"1987-01-01",242.289,4855215,54.5991251613722,47.9391678190845,6.2,266900,2826399.99999999,6.6575,8.38416666666667
"1988-01-01",244.499,5236438,56.5251092258735,49.9046947965574,5.5,283800,2988200,7.56833333333333,8.84583333333333
"1989-01-01",246.819,5641580,58.7413228051673,52.2956757351652,5.3,294300,3152500,9.21666666666667,8.49833333333333
"1990-01-01",249.623,5963144,60.9402038362846,55.1296913771029,5.6,315300,3271800,8.09916666666667,8.55
"1991-01-01",252.981,6158129,63.0010865534228,57.4538654953674,6.8,335400,3372200,5.6875,7.85833333333333
"1992-01-01",256.514,6520327,64.436789556746,59.2013912696143,7.5,361899.999999999,3424699.99999999,3.52166666666667,7.01
"1993-01-01",259.919,6858559,65.9641507805482,60.9594654891789,6.9,398599.999999999,3474500,3.0225,5.87333333333333
"1994-01-01",263.126,7287236,67.3726162864956,62.5417322867869,6.1187,428500,3486400,4.20166666666667,7.08
"1995-01-01",266.278,7639749,68.7852101764852,64.2962903579121,5.6504,445800,3629500,5.83666666666667,6.58
"1996-01-01",269.394,8073122,70.0445054227397,66.1844620697244,5.4511,465000,3818600,5.29833333333333,6.43833333333333
"1997-01-01",272.657,8577552,71.2523864656843,67.7315673829413,5.0003,493100,4032900,5.46,6.3525
"1998-01-01",275.854,9062817,72.0531675410161,68.7793796178016,4.5105,526400,4375200,5.35333333333333,5.26416666666667
"1999-01-01",279.04,9631172,73.0727905607962,70.2878072981879,4.2188,612500,4638000,4.97,5.63666666666667
"2000-01-01",282.162411,10250952,74.7280318866034,72.654175197722,3.992,598300,4925000,6.23583333333333,6.02916666666667
"2001-01-01",284.968955,10581929,76.4106754484388,74.700573589295,4.731,650800,5433800,3.8875,5.0175
"2002-01-01",287.625193,10929108,77.5980932610663,75.8925479101597,5.783,699200,5772000,1.66666666666667,4.61083333333333
"2003-01-01",290.107933,11456450,79.1301238274493,77.6365575359676,5.989,739400,6067300,1.1275,4.015
"2004-01-01",292.805298,12217196,81.2580021759928,79.7075689666144,5.529,776300,6418300,1.34916666666667,4.27416666666667
"2005-01-01",295.516599,13039197,83.8058099099637,82.3903902256701,5.084,803100,6681900,3.21333333333333,4.29
"2006-01-01",298.379912,13815583,86.3902442618091,85.0450822972121,4.623,826700,7071600,4.96416666666667,4.79166666666667
"2007-01-01",301.231207,14474228,88.7307792853306,87.4863441584997,4.622,837200,7471600,5.01916666666667,4.62916666666667
"2008-01-01",304.093966,14769862,90.4403638159037,90.8239074184051,5.784,1666400,8192100,1.9275,3.66666666666667
"2009-01-01",306.771529,14478067,90.998182536723,90.5329461350674,9.254,2026200,8496000,0.16,3.25666666666667
"2010-01-01",309.327143,15048971,92.1040713311606,92.0145807643475,9.633,2017000,8801799.99999999,0.175,3.21416666666667
"2011-01-01",311.583481,15599732,94.0042791531356,94.9035186449045,8.949,2619600,9660099.99999999,0.101666666666667,2.78583333333333
"2012-01-01",313.877662,16253970,95.7547938717376,96.8710498269878,8.069,2675900,10459700,0.14,1.8025
"2013-01-01",316.059947,16880683,97.3844259043149,98.2911518585833,7.375,3717500,11035000,0.1075,2.35083333333333
"2014-01-01",318.386329,17608138,99.0804906469444,99.8790093322096,6.168,3934500,11692000,0.0891666666666667,2.54083333333333
"2015-01-01",320.738994,18295019,100,100,5.28,3835800,12350600,0.1325,2.13583333333333
"2016-01-01",323.071755,18804913,100.950322477763,101.2673605434,4.869,3531600,13212500,0.395,1.84166666666667
"2017-01-01",325.122128,19612102,102.758144170279,103.425818585728,4.355,3851000,13853000,1.00166666666667,2.33
"2018-01-01",326.838199,20656516,105.112220503843,105.948373798928,3.896,3400700,14355300,1.83166666666667,2.91
"2019-01-01",328.329953,21539982,106.847061617324,107.869491821614,3.669,3426500,15313700,2.15833333333333,2.14416666666667
"2020-01-01",331.526933,21354105,108.266880351916,109.221028958647,8.055,5206500,19097300,0.375833333333333,0.894166666666667
"2021-01-01",332.048977,23681171,113.210330412923,114.331610068983,5.349,6413100,21500500,0.08,1.4425
"2022-01-01",333.271411,26006893,121.281639244701,123.469728247436,3.65,5406000,21309300,1.68333333333333,2.95166666666667
"2023-01-01",334.914895,27720709,125.645827265006,128.566209602531,3.638,5827200,20754000,5.02416666666667,3.9575
"2024-01-01",,29184890,128.684066701575,132.360977643976,4.022,5604100,20963400,5.14333333333333,4.20833333333333
